Iteration: 1, Loss: 1.3369, Train Accuracy: 36.71%, Validation Accuracy: 58.23%
Iteration: 45, Loss: 0.1814, Train Accuracy: 95.14%, Validation Accuracy: 95.62%
Iteration: 46, Loss: 0.1779, Train Accuracy: 95.26%, Validation Accuracy: 95.62%
Iteration: 47, Loss: 0.1820, Train Accuracy: 95.16%, Validation Accuracy: 95.62%
Iteration: 48, Loss: 0.1786, Train Accuracy: 95.20%, Validation Accuracy: 95.62%
Iteration: 49, Loss: 0.1791, Train Accuracy: 95.15%, Validation Accuracy: 95.62%
Iteration: 50, Loss: 0.1759, Train Accuracy: 95.17%, Validation Accuracy: 95.62%
Iteration: 51, Loss: 0.1779, Train Accuracy: 95.20%, Validation Accuracy: 95.62%
Iteration: 52, Loss: 0.1765, Train Accuracy: 95.22%, Validation Accuracy: 95.62%
Iteration: 53, Loss: 0.1775, Train Accuracy: 95.15%, Validation Accuracy: 95.62%
Iteration: 54, Loss: 0.1783, Train Accuracy: 95.16%, Validation Accuracy: 95.62%
Iteration: 55, Loss: 0.1761, Train Accuracy: 95.26%, Validation Accuracy: 95.62%
Iteration: 56, Loss: 0.1753, Train Accuracy: 95.26%, Validation Accuracy: 95.62%
Iteration: 57, Loss: 0.1728, Train Accuracy: 95.23%, Validation Accuracy: 95.62%
Iteration: 58, Loss: 0.1747, Train Accuracy: 95.23%, Validation Accuracy: 95.62%
Iteration: 59, Loss: 0.1753, Train Accuracy: 95.29%, Validation Accuracy: 95.62%
Iteration: 60, Loss: 0.1753, Train Accuracy: 95.22%, Validation Accuracy: 95.62%
Iteration: 61, Loss: 0.1767, Train Accuracy: 95.27%, Validation Accuracy: 95.62%
Iteration: 62, Loss: 0.1739, Train Accuracy: 95.21%, Validation Accuracy: 95.62%
Iteration: 63, Loss: 0.1731, Train Accuracy: 95.25%, Validation Accuracy: 95.62%
Iteration: 64, Loss: 0.1725, Train Accuracy: 95.29%, Validation Accuracy: 95.62%
Iteration: 65, Loss: 0.1742, Train Accuracy: 95.29%, Validation Accuracy: 95.62%
Iteration: 66, Loss: 0.1758, Train Accuracy: 95.23%, Validation Accuracy: 95.62%
Iteration: 67, Loss: 0.1745, Train Accuracy: 95.25%, Validation Accuracy: 95.62%
Iteration: 68, Loss: 0.1759, Train Accuracy: 95.22%, Validation Accuracy: 95.62%
Iteration: 69, Loss: 0.1759, Train Accuracy: 95.33%, Validation Accuracy: 95.62%
Iteration: 70, Loss: 0.1749, Train Accuracy: 95.26%, Validation Accuracy: 95.63%
Iteration: 71, Loss: 0.1718, Train Accuracy: 95.34%, Validation Accuracy: 95.62%
Iteration: 72, Loss: 0.1724, Train Accuracy: 95.26%, Validation Accuracy: 95.62%
Iteration: 73, Loss: 0.1713, Train Accuracy: 95.26%, Validation Accuracy: 95.62%
Iteration: 74, Loss: 0.1719, Train Accuracy: 95.29%, Validation Accuracy: 95.62%
Iteration: 75, Loss: 0.1725, Train Accuracy: 95.26%, Validation Accuracy: 95.62%
Iteration: 76, Loss: 0.1716, Train Accuracy: 95.24%, Validation Accuracy: 95.62%
Iteration: 77, Loss: 0.1740, Train Accuracy: 95.30%, Validation Accuracy: 95.62%
Iteration: 78, Loss: 0.1704, Train Accuracy: 95.27%, Validation Accuracy: 95.62%
Iteration: 79, Loss: 0.1708, Train Accuracy: 95.30%, Validation Accuracy: 95.62%
Iteration: 80, Loss: 0.1744, Train Accuracy: 95.29%, Validation Accuracy: 95.62%
Iteration: 81, Loss: 0.1699, Train Accuracy: 95.28%, Validation Accuracy: 95.62%
Iteration: 82, Loss: 0.1725, Train Accuracy: 95.28%, Validation Accuracy: 95.62%
Iteration: 83, Loss: 0.1705, Train Accuracy: 95.32%, Validation Accuracy: 95.62%
Iteration: 84, Loss: 0.1709, Train Accuracy: 95.25%, Validation Accuracy: 95.62%
Iteration: 85, Loss: 0.1695, Train Accuracy: 95.26%, Validation Accuracy: 95.62%
Iteration: 86, Loss: 0.1711, Train Accuracy: 95.29%, Validation Accuracy: 95.62%
Iteration: 87, Loss: 0.1692, Train Accuracy: 95.30%, Validation Accuracy: 95.62%
Iteration: 88, Loss: 0.1716, Train Accuracy: 95.33%, Validation Accuracy: 95.62%
Iteration: 89, Loss: 0.1697, Train Accuracy: 95.32%, Validation Accuracy: 95.62%
Iteration: 90, Loss: 0.1693, Train Accuracy: 95.34%, Validation Accuracy: 95.62%
Iteration: 91, Loss: 0.1706, Train Accuracy: 95.30%, Validation Accuracy: 95.62%
Iteration: 92, Loss: 0.1698, Train Accuracy: 95.31%, Validation Accuracy: 95.62%
Iteration: 93, Loss: 0.1709, Train Accuracy: 95.27%, Validation Accuracy: 95.62%
Iteration: 94, Loss: 0.1692, Train Accuracy: 95.34%, Validation Accuracy: 95.62%
Iteration: 95, Loss: 0.1675, Train Accuracy: 95.33%, Validation Accuracy: 95.62%
Iteration: 96, Loss: 0.1695, Train Accuracy: 95.27%, Validation Accuracy: 95.62%
Iteration: 97, Loss: 0.1680, Train Accuracy: 95.27%, Validation Accuracy: 95.62%
Iteration: 98, Loss: 0.1699, Train Accuracy: 95.29%, Validation Accuracy: 95.62%
Iteration: 99, Loss: 0.1704, Train Accuracy: 95.30%, Validation Accuracy: 95.62%
Iteration: 100, Loss: 0.1706, Train Accuracy: 95.34%, Validation Accuracy: 95.62%
